date,approval_date,increase_amount,label
10/3/2017,38.61701,0.0970000000000013,1
10/2/2017,38.52001,-0.140979999999999,-1
10/1/2017,38.66099,0.0485800000000012,1
9/30/2017,38.61241,-0.0122600000000048,-1
9/29/2017,38.62467,-0.203649999999996,-2
9/28/2017,38.82832,0.0361599999999953,1
9/27/2017,38.79216,-0.129809999999999,-1
9/26/2017,38.92197,-0.748429999999999,-2
9/25/2017,39.6704,0.0763200000000026,1
9/24/2017,39.59408,0.148789999999998,1
9/23/2017,39.44529,-0.0493499999999969,-1
9/22/2017,39.49464,0.0352899999999963,1
9/21/2017,39.45935,0.396279999999997,2
9/20/2017,39.06307,0.211180000000006,2
9/19/2017,38.85189,-0.0498600000000025,-1
9/18/2017,38.90175,0.111519999999999,1
9/17/2017,38.79023,-0.00269999999999726,-1
9/16/2017,38.79293,-0.0609800000000007,-1
9/15/2017,38.85391,0.368189999999998,2
9/14/2017,38.48572,0.278599999999997,2
9/13/2017,38.20712,0.0990200000000030,1
9/12/2017,38.1081,-0.609989999999996,-2
9/11/2017,38.71809,-0.0412400000000019,-1
9/10/2017,38.75933,-0.00168000000000035,-1
9/9/2017,38.76101,0.0728399999999994,1
9/8/2017,38.68817,0.309880000000000,2
9/7/2017,38.37829,0.161380000000001,1
9/6/2017,38.21691,0.450389999999999,2
9/5/2017,37.76652,0.263050000000000,2
9/4/2017,37.50347,0.153089999999999,1
9/3/2017,37.35038,0.0652200000000036,1
9/2/2017,37.28516,-0.0484399999999994,-1
9/1/2017,37.3336,0.111829999999998,1
8/31/2017,37.22177,-0.0967600000000033,-1
8/30/2017,37.31853,0.496460000000006,2
8/29/2017,36.82207,-0.106060000000006,-1
8/28/2017,36.92813,0.00669000000000608,1
8/27/2017,36.92144,-0.0118700000000018,-1
8/26/2017,36.93331,0.0165599999999984,1
8/25/2017,36.91675,-0.0985200000000006,-1
8/24/2017,37.01527,0.0901300000000020,1
8/23/2017,36.92514,0.112319999999997,1
8/22/2017,36.81282,-0.244830000000000,-2
8/21/2017,37.05765,-0.669269999999997,-2
8/20/2017,37.72692,-0.0684100000000001,-1
8/19/2017,37.79533,0,0
8/18/2017,37.79533,-0.0602099999999979,-1
8/17/2017,37.85554,0.516379999999998,2
8/16/2017,37.33916,-0.297780000000003,-2
8/15/2017,37.63694,0.238810000000001,2
8/14/2017,37.39813,-0.172260000000001,-1
8/13/2017,37.57039,-0.0518900000000002,-1
8/12/2017,37.62228,0.0549200000000027,1
8/11/2017,37.56736,0.630350000000000,2
8/10/2017,36.93701,0.0735799999999998,1
8/9/2017,36.86343,-0.0446499999999972,-1
8/8/2017,36.90808,0.305789999999995,2
8/7/2017,36.60229,-0.377919999999996,-2
8/6/2017,36.98021,0.0219299999999976,1
8/5/2017,36.95828,0.0454900000000009,1
8/4/2017,36.91279,-0.107129999999998,-1
8/3/2017,37.01992,-0.0274300000000025,-1
8/2/2017,37.04735,-0.716940000000001,-2
8/1/2017,37.76429,-0.444330000000001,-2
7/31/2017,38.20862,-0.143689999999999,-1
7/30/2017,38.35231,-0.0318100000000001,-1
7/29/2017,38.38412,0.0268700000000024,1
7/28/2017,38.35725,-0.192030000000003,-1
7/27/2017,38.54928,-0.000329999999998165,-1
7/26/2017,38.54961,0.160060000000001,1
7/25/2017,38.38955,-0.663339999999998,-2
7/24/2017,39.05289,0.559689999999996,2
7/23/2017,38.4932,0.0747900000000001,1
7/22/2017,38.41841,0.0450100000000049,1
7/21/2017,38.3734,-0.272400000000005,-2
7/20/2017,38.6458,-0.0667100000000005,-1
7/19/2017,38.71251,-0.00876999999999839,-1
7/18/2017,38.72128,-0.0976599999999976,-1
7/17/2017,38.81894,0.211790000000001,2
7/16/2017,38.60715,-0.491240000000005,-2
7/15/2017,39.09839,-0.0480400000000003,-1
7/14/2017,39.14643,-0.106349999999999,-1
7/13/2017,39.25278,-0.0417899999999989,-1
7/12/2017,39.29457,0.0516000000000005,1
7/11/2017,39.24297,0.121800000000000,1
7/10/2017,39.12117,0.0360000000000014,1
7/9/2017,39.08517,0.0512799999999984,1
7/8/2017,39.03389,0.0204200000000014,1
7/7/2017,39.01347,0.00649999999999551,1
7/6/2017,39.00697,-0.0320699999999974,-1
7/5/2017,39.03904,-0.373440000000002,-2
7/4/2017,39.41248,-0.117509999999996,-1
7/3/2017,39.52999,0.0165799999999976,1
7/2/2017,39.51341,-0.0738199999999978,-1
7/1/2017,39.58723,-0.0157000000000025,-1
6/30/2017,39.60293,-0.332230000000003,-2
6/29/2017,39.93516,0.555360000000000,2
6/28/2017,39.3798,0.661930000000005,2
6/27/2017,38.71787,-0.749910000000000,-2
6/26/2017,39.46778,-0.116350000000004,-1
6/25/2017,39.58413,-0.0791199999999961,-1
6/24/2017,39.66325,-0.111260000000001,-1
6/23/2017,39.77451,1.02473000000000,2
6/22/2017,38.74978,0.346200000000003,2
6/21/2017,38.40358,-0.218550000000000,-2
6/20/2017,38.62213,-0.0921999999999983,-1
6/19/2017,38.71433,-0.0178800000000052,-1
